"Load Name","PTID","Subzone","Zone"
"ECNY_REN_NY_MILLWOOD",408344,"NYSEG MILLWOOD","MILLWD"
"ECNY_REN_NY_MOHAWKVY",405344,"NYSEG MOHAWK VLY","MHK VL"
"ECNY_REN_NY_NORTH",404344,"NYSEG NORTH","NORTH"
"ECNY_REN_NY_WEST",401344,"NYSEG WEST","WEST"
"ECNY_REN_RG_GENESEE",802344,"RG&E GENESEE","GENESE"
"ECONNERGY_OR_HUDSONVY",607282,"O&R HUDSON VLY","HUD VL"
"EDFIPS_CE_DUNWOODI",109727,"CON ED DUNWOODIE","DUNWOD"
"EDFIPS_CE_MILWOOD",108727,"CON ED MILLWOOD","MILLWD"
"EDFIPS_CE_NY-CITY",110727,"CON ED NY CITY","N.Y.C."
"EDFIPS_CH_HUDSONVY",507727,"CENT HUD HUDSON VLY","HUD VL"
"EDFIPS_CH_MOHAWKVY",505727,"CENT HUD MOHAWK VLY","MHK VL"
"EDFIPS_NM_CAPITAL",306727,"NMPC CAPITAL","CAPITL"
"EDFIPS_NM_CENTRAL",303727,"NMPC CENTRAL","CENTRL"
"EDFIPS_NM_GENESEE",302727,"NMPC GENESEE","GENESE"
"EDFIPS_NM_MOHAWKVY",305727,"NMPC MOHAWK VLY","MHK VL"
"EDFIPS_NM_NORTH",304727,"NMPC NORTH","NORTH"
"EDFIPS_NM_WEST",301727,"NMPC WEST","WEST"
"EDFIPS_NY_CAPITAL",406727,"NYSEG CAPITAL","CAPITL"
"EDFIPS_NY_CENTRAL",403727,"NYSEG CENTRAL","CENTRL"
"EDFIPS_NY_HUDSONVY",407727,"NYSEG HUDSON VLY","HUD VL"
